NPs,Capping,Core_size,DLS_size,Zeta_potential,Shape,MIC,Class,Family,Species
Ag,Capped,10,17.5,39.77,spherical,55,Bacilli,Bacillaceae,Bacillus subtilis
Ag,Capped,10,17.5,39.77,spherical,57,Bacilli,Staphylococcaceae,Staphylococcus aureus
Ag,Capped,10,17.5,39.77,spherical,58,Actinomycetia,Micrococcaceae,Micrococcus luteus
Ag,Capped,10,17.5,39.77,spherical,43,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae
Ag,Capped,10,17.5,39.77,spherical,46,Gammaproteobacteria,Yersiniaceae,Serratia marcescens
Ag,Capped,10,17.5,39.77,spherical,45,Gammaproteobacteria,Enterobacteriaceae,Shigella dysentery
Ag,Uncapped,15,27,-15.3,spherical,60,Bacilli,Bacillaceae,Bacillus cereus
Ag,Uncapped,15,27,-15.3,spherical,58,Bacilli,Bacillaceae,Bacillus subtilis
Ag,Uncapped,15,27,-15.3,spherical,59,Bacilli,Staphylococcaceae,Staphylococcus aureus
Ag,Uncapped,15,27,-15.3,spherical,60,Actinomycetia,Micrococcaceae,Micrococcus luteus
Ag,Uncapped,15,27,-15.3,spherical,49,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae
Ag,Uncapped,15,27,-15.3,spherical,50,Gammaproteobacteria,Yersiniaceae,Serratia marcescens
Ag,Uncapped,15,27,-15.3,spherical,48,Gammaproteobacteria,Enterobacteriaceae,Shigella dysentery
Ag,Capped,13.57,77.03,-27,spherical,6.8,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii
Ag,Capped,13.57,77.03,-27,spherical,27,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Ag,Capped,13.57,77.03,-27,spherical,13,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
Ag,Capped,13.57,77.03,-27,spherical,27,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Ag,Capped,35.13,38,19.73,spherical,5.25,Bacilli,Staphylococcaceae,Streptococcus pneumoniae 
Ag,Capped,35.13,38,19.73,spherical,2,Bacilli, Enterococcaceae,Enterococcus faecium 
Ag,Capped,35.13,38,19.73,spherical,6,Bacilli,Staphylococcaceae,Staphylococcus aureus 
Ag,Capped,35.13,38,19.73,spherical,3.75,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Ag,Uncapped,11,20,37.7,spherical,1,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
Ag,Uncapped,11,20,37.7,spherical,2,Bacilli,Staphylococcaceae,Staphylococcus aureus
Ag,Uncapped,100,120,63.2,spherical,1.56,Bacilli,Enterococcaceae,Enterococcus faecalis 
Ag,Uncapped,100,120,63.2,spherical,3.12,Gammaproteobacteria,Enterobacteriaceae,Salmonella typhimurium 
Ag,Uncapped,100,120,63.2,spherical,7.8,Bacilli,Listeriaceae,Listeria monocytogenes 
Ag,Uncapped,100,120,63.2,spherical,12.5,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,10,25,-17,spherical,54,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,27,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,54,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,27,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,54,Gammaproteobacteria,Xanthomonadaceae,Stenotrophomonas maltophilia 
CuO,Capped,10,25,-17,spherical,54,Gammaproteobacteria,Xanthomonadaceae,Stenotrophomonas maltophilia 
CuO,Capped,10,25,-17,spherical,27,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,1.6,Gammaproteobacteria,Xanthomonadaceae,Stenotrophomonas maltophilia 
CuO,Capped,40,157,-48.4,spherical,1.6,Gammaproteobacteria,Xanthomonadaceae,Stenotrophomonas maltophilia 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,40,157,-48.4,spherical,3.4,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Xanthomonadaceae,Stenotrophomonas maltophilia 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Xanthomonadaceae,Stenotrophomonas maltophilia 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Uncapped,10,36,41,spherical,6.7,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
Au,Capped,40,66,-20,spherical,19,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa
Au,Capped,40,66,-20,spherical,78,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,40,66,-24,spherical,39,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa
Au,Capped,40,66,-24,spherical,1.56,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,15,78,-20.3,polydispersed,10.3,Bacilli,Staphylococcaceae,Staphylococcus aureus
Au,Capped,15,78,-20.3,polydispersed,12.5,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae
Au,Capped,15,78,-20.3,polydispersed,22.6,Gammaproteobacteria,Enterobacteriaceae,Salmonella abony
Au,Capped,15,78,-20.3,polydispersed,16.2,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
