NPs,Capping,Core_size,DLS_size,Zeta_potential,Shape,MBC,Class,Family,Species
Ag,Capped,10,17.5,39.77,spherical,4,Bacilli,Bacillaceae,Bacillus subtilis
Ag,Capped,10,17.5,39.77,spherical,6.5,Bacilli,Staphylococcaceae,Staphylococcus aureus
Ag,Capped,10,17.5,39.77,spherical,5,Actinomycetia,Micrococcaceae,Micrococcus luteus
Ag,Capped,10,17.5,39.77,spherical,7.25,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae
Ag,Capped,10,17.5,39.77,spherical,6.5,Gammaproteobacteria,Yersiniaceae,Serratia marcescens
Ag,Capped,10,17.5,39.77,spherical,10,Gammaproteobacteria,Enterobacteriaceae,Shigella dysentery
Ag,Uncapped,15,27,-15.3,spherical,5.5,Bacilli,Bacillaceae,Bacillus cereus
Ag,Uncapped,15,27,-15.3,spherical,9.5,Bacilli,Bacillaceae,Bacillus subtilis
Ag,Uncapped,15,27,-15.3,spherical,54,Bacilli,Staphylococcaceae,Staphylococcus aureus
Ag,Uncapped,15,27,-15.3,spherical,27,Actinomycetia,Micrococcaceae,Micrococcus luteus
Ag,Uncapped,15,27,-15.3,spherical,13.5,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae
Ag,Uncapped,15,27,-15.3,spherical,54,Gammaproteobacteria,Yersiniaceae,Serratia marcescens
Ag,Uncapped,15,27,-15.3,spherical,13.5,Gammaproteobacteria,Enterobacteriaceae,Shigella dysentery
Ag,Capped,13.57,77.03,-27,spherical,13.5,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii
Ag,Capped,13.57,77.03,-27,spherical,27,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Ag,Capped,13.57,77.03,-27,spherical,13.5,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
Ag,Capped,13.57,77.03,-27,spherical,13.5,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Ag,Capped,35.13,38,19.73,spherical,13.5,Bacilli,Staphylococcaceae,Streptococcus pneumoniae 
Ag,Capped,35.13,38,19.73,spherical,27,Bacilli, Enterococcaceae,Enterococcus faecium 
Ag,Capped,35.13,38,19.73,spherical,27,Bacilli,Staphylococcaceae,Staphylococcus aureus 
Ag,Capped,35.13,38,19.73,spherical,54,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Ag,Uncapped,11,20,37.7,spherical,54,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
Ag,Uncapped,11,20,37.7,spherical,54,Bacilli,Staphylococcaceae,Staphylococcus aureus
Ag,Uncapped,100,120,63.2,spherical,27,Bacilli,Enterococcaceae,Enterococcus faecalis 
Ag,Uncapped,100,120,63.2,spherical,27,Gammaproteobacteria,Enterobacteriaceae,Salmonella typhimurium 
Ag,Uncapped,100,120,63.2,spherical,54,Bacilli,Listeriaceae,Listeria monocytogenes 
Ag,Uncapped,100,120,63.2,spherical,27,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,3.4,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,27,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,27,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,27,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,3.4,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,3.4,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Xanthomonadaceae,Stenotrophomonas maltophilia 
CuO,Capped,10,25,-17,spherical,3.4,Gammaproteobacteria,Xanthomonadaceae,Stenotrophomonas maltophilia 
CuO,Capped,10,25,-17,spherical,3.4,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,10,25,-17,spherical,6.7,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,10,25,-17,spherical,3.4,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,10,25,-17,spherical,13.5,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,10,25,-17,spherical,3.4,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Xanthomonadaceae,Stenotrophomonas maltophilia 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Xanthomonadaceae,Stenotrophomonas maltophilia 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Capped,40,157,-48.4,spherical,6.7,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Uncapped,10,36,41,spherical,39,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,1.56,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,78,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,3.12,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,50,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,100,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,50,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,25,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,50,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,50,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,32,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,64,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii 
CuO,Uncapped,10,36,41,spherical,64,Gammaproteobacteria,Xanthomonadaceae,Stenotrophomonas maltophilia 
CuO,Uncapped,10,36,41,spherical,32,Gammaproteobacteria,Xanthomonadaceae,Stenotrophomonas maltophilia 
CuO,Uncapped,10,36,41,spherical,32,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Uncapped,10,36,41,spherical,64,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Uncapped,10,36,41,spherical,32,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Uncapped,10,36,41,spherical,64,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
CuO,Uncapped,10,36,41,spherical,128,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
Au,Capped,40,66,-20,spherical,32,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa
Au,Capped,40,66,-20,spherical,16,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,40,66,-24,spherical,32,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa
Au,Capped,40,66,-24,spherical,64,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,15,78,-20.3,polydispersed,32,Bacilli,Staphylococcaceae,Staphylococcus aureus
Au,Capped,15,78,-20.3,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae
Au,Capped,15,78,-20.3,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Salmonella abony
Au,Capped,15,78,-20.3,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae  
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae 
Au,Capped,70,87,-13,polydispersed,128,Bacilli,Streptococcaceae,Streptococcus mutans 
Au,Capped,70,87,-13,polydispersed,128,Bacilli,Streptococcaceae,Streptococcus mutans 
Au,Capped,70,87,-13,polydispersed,128,Bacilli,Streptococcaceae,Streptococcus mutans
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae  
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae 
Au,Capped,70,87,-13,polydispersed,256,Bacilli,Streptococcaceae,Streptococcus mutans 
Au,Capped,70,87,-13,polydispersed,128,Bacilli,Streptococcaceae,Streptococcus mutans 
Au,Capped,70,87,-13,polydispersed,128,Bacilli,Streptococcaceae,Streptococcus mutans
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae  
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae 
Au,Capped,70,87,-13,polydispersed,128,Bacilli,Streptococcaceae,Streptococcus mutans 
Au,Capped,70,87,-13,polydispersed,64,Bacilli,Streptococcaceae,Streptococcus mutans 
Au,Capped,70,87,-13,polydispersed,64,Bacilli,Streptococcaceae,Streptococcus mutans
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
